cell_id,row,col,datetime,window_start,speed,altitude
454_624,454,624,2023-10-27 10:00:33,2023-10-27 10:00:00,0.0,61.86
454_624,454,624,2023-10-27 10:00:38,2023-10-27 10:00:00,0.05,67.8
454_624,454,624,2023-10-27 10:00:43,2023-10-27 10:00:00,0.02,79.93
454_624,454,624,2023-10-27 10:00:49,2023-10-27 10:00:00,0.07,92.65
454_624,454,624,2023-10-27 10:00:54,2023-10-27 10:00:00,0.03,105.55
