cell_id,row,col,total_points,avg_speed,std_speed,avg_altitude,std_altitude,first_seen,last_seen,active_hours,active_days,rank
378_730,378,730,97465,1.383500743856769,2.279631818023889,128.99624439542401,39.54483592517636,2023-10-01 10:21:23,2023-10-31 17:52:43,10,21,1
329_762,329,762,60430,1.5309995035578357,2.679771490418713,166.53563163991393,38.856152245953396,2023-10-01 08:22:48,2023-10-31 16:42:08,10,21,2
233_640,233,640,51793,1.0268762187940454,1.9438418576180905,53.43613731585348,33.89228836209211,2023-10-01 09:53:58,2023-10-31 17:53:13,9,21,3
391_726,391,726,48019,1.0753305983048378,2.256599194160579,112.20333118140735,41.5514741677529,2023-10-01 10:28:03,2023-10-31 17:45:08,9,21,4
277_771,277,771,39731,1.3096851325161711,2.392588991675341,63.93352722055825,34.00250224964678,2023-10-01 10:30:23,2023-10-31 17:20:58,8,20,5
