subset_label,rho_star,speed_drop_percent,rr,rr_ci_95_lower,rr_ci_95_upper,samples
Full sample,11.5,84.62265876305597,380.8380775142505,318.61956491408847,455.20632521062413,1423376
Exclude interface-like windows,9.5,66.99423663359114,628.4937735039156,417.50794151307963,946.1003829092831,1348350
Exclude endpoint +1 buffer,4.5,64.606236371042,63.546339947579405,58.533431466268375,68.98856293877834,1012015
"Away-from-endpoint, altitude >=180 m",4.5,56.69219787696467,55.469974761569055,49.40688308042184,62.27711420371669,665676
