bin,sample_count,x_mean,y_mean,y_median,y_q25,y_q75,relation
"[1.0, 2.0)",1186745,1.0,13.652921676635742,11.989999771118164,10.0,14.0,v_k
"[2.0, 3.0)",178399,2.0,8.855121612548828,10.0,6.416666507720947,11.954999923706055,v_k
"[3.0, 4.0)",40291,3.0,7.186591625213623,9.066666603088379,3.1462565660476685,10.016666412353516,v_k
"[4.0, 5.0)",12824,4.0,6.575594902038574,7.309091091156006,1.5214284658432007,10.01428508758545,v_k
"[5.0, 6.0)",2846,5.0,6.054108142852783,3.6084821224212646,1.2144376933574677,11.943333625793457,v_k
