hub_name,removed_active_cells,removed_samples,removed_congested_samples,removed_congested_share,rho_star,speed_drop_percent,rr,rr_ci_95_lower,rr_ci_95_upper,or_adj,or_ci_95_lower,or_ci_95_upper
丰翼无人机新发工业区航站,8,5578,1848,0.03848797250859107,11.5,84.36116954175371,369.97988711284006,309.3035682030124,442.5591261791874,393.48657673688336,329.05701816236,470.5314809475227
丰翼无人机石岩集散中心航站,9,6129,1756,0.03657190461314173,11.5,84.29691267942533,374.0784264096795,312.4958420751319,447.79689923521636,397.9059450390293,332.5052934507403,476.1702872584762
丰翼无人机光明峰荟航站,9,4264,1312,0.027324794335103614,11.5,83.89659567521353,373.4305640658382,312.1891658919837,446.68554009583863,397.41554844965225,332.3435575852349,475.2284632718711
丰翼无人机上兴工业区航站,8,4055,1252,0.026075184838071436,10.5,85.08777021380887,348.81302812832297,296.525976474005,410.31996602401057,374.9761994855104,318.8338040000267,441.0045246663543
美团人才公园无人机空投柜,3,4419,917,0.019098198479641778,11.5,84.5977191775291,378.15074102656115,316.1358614046192,452.33078684457,402.73368260611915,336.79155957612124,481.5869474568208
