analysis,group,samples,active_cells,rho_star,speed_drop_percent,congestion_share_percent,rr,rr_ci_95_lower,rr_ci_95_upper,or_adj,or_ci_95_lower,or_ci_95_upper,removed_point_rows,removed_cell_windows
leave_one_vendor_day_out,MT_2023-10-01,1373961,12159,10.5,85.5535543829897,3.7207751893976613,357.37364803487395,303.8011631870281,420.3931379654676,384.98610007222914,327.3418695988907,452.7813610597361,215792,49416
leave_one_vendor_day_out,MT_2023-10-02,1406773,12159,11.5,84.74364505235185,3.3387760498673202,379.6874122831775,317.65540305462594,453.833083460899,404.7611257399247,338.7356770378172,483.65607763235573,68092,16616
leave_one_vendor_day_out,MT_2023-10-04,1400640,12159,11.5,84.81982603759181,3.3297635366689513,383.1549585181231,320.318812624468,458.31751508500207,408.47888192307056,341.59514190858573,488.4583429520018,93295,22736
leave_one_vendor_day_out,MT_2023-10-05,1400839,12159,11.5,84.76665437201372,3.3341447518237284,383.792945484761,320.8522783929602,459.0805019108154,409.20014877831716,342.19842587306556,489.32066631512913,88902,22537
leave_one_vendor_day_out,MT_2023-10-06,1399719,12159,11.5,84.79120014337937,3.323595664558386,382.6544466587161,319.90020349088735,457.7190759800791,407.9090268838408,341.1183887081991,487.77720498573257,97635,23663
