slot_index,slot_label,total_points,share_of_points,mean_active_flights_per_day,median_active_flights_per_day,peak_active_flights_in_any_day,days_with_activity
0,00:00-00:29,123,3.18064019305193e-05,0.09090909090909091,2,2,1
1,00:30-00:59,441,0.00011403758740942287,0.13636363636363635,1.5,2,2
2,01:00-01:29,4,1.034354534325831e-06,0.045454545454545456,1,1,1
3,01:30-01:59,0,0.0,0.0,0.0,0,0
4,02:00-02:29,0,0.0,0.0,0.0,0,0
