cell_id,n,starts,ends,median_altitude,mean_altitude,p25,p75,median_lon,median_lat,terrain_m,rel_ground_m,nearest_bldg_dist_m,nearest_bldg_height_m,bldg_count_within_150m,best_height_gap_150m,best_match_height_150m,best_match_dist_150m,nearest_station_m,station_adjacent_150m,height_class
473_912,6364,3180,3184,70.8,70.95754556882464,70.77,70.96,114.02257,22.65132,64.0,6.799999999999997,414.9451582795602,40.280892,0,,,,1495.187746616936,False,ground_like
411_953,5261,2630,2631,111.78,111.98318570613952,111.74,111.94,114.05423,22.60675,95.0,16.78,295.7683359373588,1.918091999999997,0,,,,437.0377203266727,False,elevated_unresolved
291_800,4389,2208,2181,8.64,8.781116427432217,8.6,8.79,113.93491,22.5203,3.0,5.640000000000001,227.007517953374,29.717591999999986,0,,,,957.176864310171,False,ground_like
489_907,3620,1809,1811,55.49,55.62591988950276,55.45,55.68,114.01861,22.66267,63.0,-7.509999999999998,19.910233205873066,14.001392000000005,55,15.835891999999982,8.325891999999984,81.71297875290095,714.6659897013633,False,ground_like
564_1188,3079,1538,1541,59.59,59.421688860019486,58.54,60.15,114.23799,22.71682,37.0,22.590000000000003,24.29540851301271,7.061192000000008,34,0.934791999999991,23.524791999999994,112.06235765273092,1162.8560939607585,False,building_compatible
