band,altitude_lower_m,altitude_upper_m,samples,sample_share_percent,active_cells,subset_backbone_cells,full_backbone_overlap_share,rho_star,speed_free,speed_congested,speed_drop_percent,congestion_share_percent,rr,rr_ci_95_lower,rr_ci_95_upper,or_adj,or_ci_95_lower,or_ci_95_upper,mean_altitude_p25_m,mean_altitude_p50_m,mean_altitude_p75_m
all_sample,,,1423376,100.0,12159,1215,1.0,11.5,7.3725413007242535,1.1337008336470005,84.62265876305597,3.373318083205,380.8380775142505,318.61956491408847,455.20632521062413,406.0153519341188,339.7871458932777,485.15215480800737,128.97,181.885,230.42
lt_60m,,60.0,18695,1.3134266701138702,103,10,1.0,8.5,1.3190208065703026,0.9647023702025889,26.862232544231585,52.27066060443969,2.314437009460405,2.2470518960704626,2.38384288325847,6.6937021241328205,6.268998124917449,7.147178422103969,32.99,44.98695652173913,52.91
60_120m,60.0,120.0,266371,18.714029181326648,1314,131,1.0,11.5,6.595629562256994,1.0350529218643862,84.30698825495901,7.504195276512833,11.774520828286503,11.234548202935011,12.340446472029324,13.685211714443748,13.040891667490145,14.361366112413485,94.9,101.19666666666666,113.4
120_180m,120.0,180.0,381984,26.83647890648711,4782,478,0.9225941422594143,11.5,7.529364030433217,1.2858697572767064,82.92193401621569,4.7865879199128765,121.89378175702504,100.6279603155176,147.6537334597848,131.9386584659852,108.94566443570436,159.78432632422314,133.74,153.65,162.03
180_240m,180.0,240.0,450758,31.668231022582933,4892,489,0.9406952965235174,11.5,8.132274258385275,1.3368753411202288,83.5608674935949,0.569263329768967,55.56632440090822,43.277043017672646,71.34536447340237,55.87069203083497,43.54986125594096,71.67724851427798,189.515,200.675,223.17
