rank,cell_id,total_points,traffic_share,cumulative_traffic_share,active_days,active_hours,is_backbone_cell,backbone_definition,exceedance_count,exceedance_share,cumulative_exceedance_share,total_samples,is_hotspot_cell,is_endpoint_cell,station_exact_cell,station_buffer1_cell,station_buffer2_cell,endpoint_buffer1_cell,lon,lat,traffic_rank_pct,log10_total_points
1,378_730,97465,0.0252033411720167,0.0252033411720167,21,10,True,top_10_percent_active_cells_by_total_points,3065,0.0638342184733937,0.0638342184733937,3782,True,True,False,False,False,True,114.0227957394363,22.65099099099099,8.224360555966774e-05,4.988848687126435
2,329_762,60430,0.0156265111273274,0.0408298522993442,21,10,True,top_10_percent_active_cells_by_total_points,1967,0.0409663646777048,0.1048005831510986,3343,True,True,False,False,False,True,114.05402019345678,22.606846846846846,0.00016448721111933547,4.781252594248456
3,233_640,51793,0.0133930810990844,0.0542229333984287,21,9,True,top_10_percent_active_cells_by_total_points,1730,0.0360304071644277,0.1797146724981776,2604,True,True,False,False,False,True,113.9349769625037,22.52036036036036,0.0002467308166790032,4.71427106733594
4,391_726,48019,0.012417167595948,0.0666401009943767,21,9,True,top_10_percent_active_cells_by_total_points,1867,0.0388836821826512,0.1436842653337498,2490,True,True,False,False,False,True,114.01889268268374,22.662702702702703,0.00032897442223867095,4.6814131115934785
5,277_771,39731,0.0102739850008248,0.0769140859952016,20,8,True,top_10_percent_active_cells_by_total_points,1277,0.0265958554618348,0.2910132250338436,1897,True,True,False,False,False,True,114.06280207115005,22.56,0.0004112180277983387,4.599129496065089
