route_key,status,distance_m,duration_s
"113.310900,22.610700;113.893475,22.469663",Ok,83536.3,3903.0
"113.473850,22.313800;113.893475,22.469663",Ok,81666.1,4114.2
"113.557300,22.376595;113.893475,22.469663",Ok,70354.2,3673.1
"113.611993,22.868877;113.875042,22.802301",Ok,35444.1,2206.2
"113.611993,22.868877;114.019325,22.744740",Ok,64855.1,3152.6
