source_folder,route_code,file_name,flight_id,flight_date_local,point_index,elapsed_s,datetime_local,longitude,latitude,altitude_msl,altitude_agl,vel_x,vel_y,vel_z,ground_speed,yaw_deg,grid_row,grid_col,cell_id,is_within_main_grid
A航路,5060,20260318-120117.mat,A航路__5060__20260318-120117,2026-03-18,1,0,2026-03-18 12:01:17.000,114.117751189904,22.6440460234694,59.7727317810059,0.0149102536961436,-0.000326468434650451,0.00213138153776526,0.000288624316453934,0.00215623952712813,0.068591021001339,366,826,366_826,1
A航路,5060,20260318-120117.mat,A航路__5060__20260318-120117,2026-03-18,2,0.007989,2026-03-18 12:01:17.008,114.117751189925,22.6440460233438,59.7727279663086,0.0149078145623207,-0.00584886875003576,-0.00512180291116238,0.000325989880366251,0.00777445372459932,0.0685915127396584,366,826,366_826,1
A航路,5060,20260318-120117.mat,A航路__5060__20260318-120117,2026-03-18,3,0.015974,2026-03-18 12:01:17.016,114.117751190029,22.6440460234514,59.7728004455566,0.0149789024144411,-0.00547085190191865,-0.00471547385677695,0.000331848656060174,0.00722259747090157,0.0685918480157852,366,826,366_826,1
A航路,5060,20260318-120117.mat,A航路__5060__20260318-120117,2026-03-18,4,0.023962,2026-03-18 12:01:17.024,114.117751190112,22.6440460235422,59.7728004455566,0.0149801345542073,-0.00511587643995881,-0.00434762798249722,0.000346057320712134,0.00671372183093092,0.0685949251055717,366,826,366_826,1
A航路,5060,20260318-120117.mat,A航路__5060__20260318-120117,2026-03-18,5,0.031948,2026-03-18 12:01:17.032,114.117751189777,22.6440460231753,59.7728691101074,0.0150481583550572,-0.00510701956227422,-0.0042701973579824,0.000351731840055436,0.00665704396001494,0.0686005055904388,366,826,366_826,1
