analysis,route_day_id,merged_route_id,removed_point_rows,removed_cell_windows,samples,active_cells,rho_star,speed_drop_percent,congestion_share_percent,rr,rr_ci_95_lower,rr_ci_95_upper,or_adj,or_ci_95_lower,or_ci_95_upper
leave_top_route_day_out,137_138_2023-10-01,137_138,28051,5014,1399130,12109,11.5,85.14392229079405,3.098854288021842,381.1051947194305,316.6074854739569,458.7420579292717,404.17753675244586,335.8930511195934,486.3437355157169
leave_top_route_day_out,87_90_2023-10-07,87_90,25896,4950,1399089,12109,10.5,85.80351274884727,3.521648729995018,353.9934344635833,299.35307385309517,418.60719861797236,379.09414333479606,320.65554046432703,448.18302313641453
leave_top_route_day_out,152_203_2023-10-22,152_203,25755,4093,1400615,12109,10.5,85.74949377495982,3.520953295516612,353.52300557120736,298.95530947329235,418.05083070205546,378.55347110213916,320.1982942023494,447.5437036304694
leave_top_route_day_out,137_138_2023-10-29,137_138,24397,4691,1399468,12109,11.5,85.1822312088132,3.1037508538959093,381.6182127485955,317.03381730042196,459.35938803471794,404.7572572778027,336.3749790214111,487.04109263912056
leave_top_route_day_out,142_143_2023-10-01,142_143,23362,5104,1398915,12109,10.5,85.78822490186123,3.5303074168194635,354.7260336278636,299.97275785608764,419.4732876167497,379.94508713677453,321.37548141189586,449.1888074509088
