cutoff_share,cutoff_label,active_cells,backbone_cells,backbone_cell_share,traffic_points_in_backbone,traffic_share,hotspot_cells_total,hotspot_cells_covered,hotspot_cells_covered_share,total_cell_window_samples,backbone_cell_window_samples,total_exceedance_samples,exceedance_samples_covered,exceedance_samples_covered_share,risk_backbone,risk_non_backbone,rr,rr_ci_95_lower,rr_ci_95_upper,or_adj,or_ci_95_lower,or_ci_95_upper,contingency_a,contingency_b,contingency_c,contingency_d
0.05,top 5%,12159,607,0.049921868574718316,2567500,0.663925629985907,311,242,0.7781350482315113,1423376,518564,48015,47538,0.9900656044985942,0.09167238759343109,0.0005271813371175449,173.8915647026993,158.90478583701687,190.29179087008376,191.1420926956995,174.6534519204176,209.18738907456006,47538,471026,477,904335
0.1,top 10%,12159,1215,0.0999259807549963,2950138,0.7628713652172788,311,272,0.8745980707395499,1423376,725466,48015,47894,0.9974799541809851,0.06601825585210058,0.00017337479044575948,380.7834788573514,318.5738862092599,455.1410647496208,405.95512126190863,339.736739920584,485.0801844901854,47894,677572,121,697789
0.2,top 20%,12159,2431,0.19993420511555227,3375222,0.8727931422365308,311,293,0.9421221864951769,1423376,1005573,48015,47985,0.9993751952514839,0.047719061669316894,7.180417565216143e-05,664.5722374208535,464.6128663697052,950.5898151325006,686.3919031256427,481.26461603505265,978.9496858462714,47985,957588,30,417773
