flight_id,source_folder,route_code,flight_date_local,seq_index,cell_id,lon_center,lat_center
A航路__5060__20260318-120117,A航路,5060,2026-03-18,1,366_826,114.11738022887504,22.64398018018018
A航路__5060__20260318-120117,A航路,5060,2026-03-18,2,365_826,114.11738022887504,22.64307927927928
A航路__5060__20260318-120117,A航路,5060,2026-03-18,3,365_827,114.11835600652643,22.64307927927928
A航路__5060__20260318-120117,A航路,5060,2026-03-18,4,364_827,114.11835600652643,22.64217837837838
A航路__5060__20260318-120117,A航路,5060,2026-03-18,5,363_827,114.11835600652643,22.641277477477477
