grid_size_m,active_cells,active_share_full_grid,spatiotemporal_samples,top10_traffic_share,rho_star,speed_drop_percent,hotspot_cells,hotspot_share_active_cells,rr_backbone_vs_nonbackbone,n_binned_density_points
50,31467,0.013126630034857508,2148925,0.7673071900495196,6.5,90.61822468247604,496,0.015762544888295676,377.1294213659959,67
80,16427,0.01752232023808254,1660939,0.7663979933542789,10.5,87.46940754375106,306,0.0186278687526633,667.0093274900112,73
100,12159,0.020278248455657698,1423376,0.7628713652172788,11.5,84.60974585747485,311,0.025577761329056665,380.7834788573514,72
150,7105,0.026625943900016862,1057666,0.7579630994401562,12.5,83.14067843290887,379,0.05334271639690359,202.14871543310713,79
200,4882,0.032567944390335016,839987,0.7508951036292877,12.5,80.21387310713297,423,0.0866448176976649,94.70838487848627,81
