order_id,num_points,duration_seconds,avg_speed,avg_altitude,start_time,end_time,vendor
1HE21221016Y8GA114202412021007258509,81,437.0,7.12037037037037,161.51098765432096,2023-10-02 10:07:25,2023-10-02 10:14:42,SF
1HE21221016Y8GA114202412021448166377,80,444.0,7.230125000000001,161.33712500000001,2023-10-02 14:48:17,2023-10-02 14:55:41,SF
1HE21221016Y8GA114202412021643387622,81,439.0,7.028148148148148,160.8285185185185,2023-10-02 16:43:39,2023-10-02 16:50:58,SF
1HE21221016Y8GA114202412021852316653,79,439.0,7.212151898734177,161.85835443037973,2023-10-02 18:52:32,2023-10-02 18:59:51,SF
1HE21221016Y8GA114202412021903504869,78,439.0,6.969871794871793,160.9515384615385,2023-10-02 19:03:51,2023-10-02 19:11:10,SF
